Date,consommation
2013-01-31,11315.76059179556
2013-02-28,11617.14955357143
2013-03-31,10472.10752688172
2013-04-30,8651.255555555555
2013-05-31,7493.002016129032
2013-06-30,6935.397222222222
2013-07-31,6737.576612903225
2013-08-31,5964.372311827957
2013-09-30,6911.4125
2013-10-31,7665.393817204301
2013-11-30,9828.361805555556
2013-12-31,10336.878360215054
2014-01-31,10254.257392473119
2014-02-28,10067.654761904761
2014-03-31,8774.15927419355
2014-04-30,7503.139583333334
2014-05-31,7102.735887096775
2014-06-30,6691.929861111111
2014-07-31,6577.227150537635
2014-08-31,5858.268145161291
2014-09-30,6774.200694444445
2014-10-31,7459.8071236559135
2014-11-30,8707.27638888889
2014-12-31,10570.816532258064
2015-01-31,11016.487231182795
2015-02-28,11075.124255952382
2015-03-31,9510.183467741936
2015-04-30,7709.404166666666
2015-05-31,6939.4213709677415
2015-06-30,6801.084027777778
2015-07-31,6601.209677419355
2015-08-31,5972.2446236559135
2015-09-30,6893.2555555555555
2015-10-31,8132.118279569892
2015-11-30,8697.50486111111
2015-12-31,9127.612231182795
2016-01-31,10482.10819892473
2016-02-29,10236.596982758621
2016-03-31,9756.163306451614
2016-04-30,8255.268055555556
2016-05-31,7086.934811827957
2016-06-30,6869.447222222222
2016-07-31,6393.836693548387
2016-08-31,5980.470430107527
2016-09-30,6695.439583333334
2016-10-31,7900.331317204301
2016-11-30,9531.573611111111
2016-12-31,10624.918010752688
2017-01-31,11952.786290322581
2017-02-28,9924.009672619048
2017-03-31,8668.055107526881
2017-04-30,7599.822222222222
2017-05-31,7004.756720430108
2017-06-30,6701.622222222222
2017-07-31,6308.8494623655915
2017-08-31,5836.769489247312
2017-09-30,6808.707638888889
2017-10-31,7326.944220430108
2017-11-30,9359.2875
2017-12-31,10314.583333333334
2018-01-31,9491.413978494624
2018-02-28,11446.405505952382
2018-03-31,10007.013440860215
2018-04-30,7358.674305555555
2018-05-31,6732.512768817204
2018-06-30,6619.720833333334
2018-07-31,6588.455645161291
2018-08-31,5897.112903225807
2018-09-30,6519.530555555555
2018-10-31,7438.250672043011
2018-11-30,9386.609722222222
2018-12-31,9743.264784946237
2019-01-31,10871.770833333334
2019-02-28,9873.714285714286
2019-03-31,8641.353494623656
2019-04-30,7621.90625
2019-05-31,7081.086693548387
2019-06-30,6590.934027777777
2019-07-31,6391.016801075269
2019-08-31,5637.152553763441
2019-09-30,6296.58125
2019-10-31,7452.705645161291
2019-11-30,9341.49375
2019-12-31,9672.516129032258
2020-01-31,10135.033602150537
2020-02-29,9240.55316091954
2020-03-31,8319.64180107527
2020-04-30,5933.731944444445
2020-05-31,5866.0887096774195
2020-06-30,6108.70625
2020-07-31,5928.112231182796
2020-08-31,5776.268817204301
2020-09-30,6380.377083333334
2020-10-31,7534.290322580645
2020-11-30,8154.889583333334
2020-12-31,9420.82190860215
2021-01-31,10489.816532258064
2021-02-28,9516.690476190477
2021-03-31,8674.668010752688
2021-04-30,7733.972916666667
2021-05-31,6858.993279569892
2021-06-30,6298.370833333333
2021-07-31,5904.016801075269
2021-08-31,5366.420698924731
2021-09-30,6301.477777777778
2021-10-31,7357.659274193548
2021-11-30,9353.977777777778
2021-12-31,9758.105510752688
2022-01-31,10362.612903225807
2022-02-28,9439.248511904761
2022-03-31,8427.58938172043
2022-04-30,7623.870833333333
2022-05-31,6331.4220430107525
2022-06-30,6352.44375
2022-07-31,6068.439516129032
2022-08-31,5709.384408602151
2022-09-30,6292.875694444445
2022-10-31,6451.447580645161
2022-11-30,7863.836111111111
2022-12-31,9712.318548387097
2023-01-31,9452.76747311828
2023-02-28,9101.982886904761
2023-03-31,8313.407930107527
2023-04-30,7404.938888888889
2023-05-31,6141.1928763440865
2023-06-30,6145.815972222223
2023-07-31,5687.886424731183
2023-08-31,5350.860215053764
2023-09-30,6013.263194444445
2023-10-31,6351.206989247312
2023-11-30,8000.108333333334
2023-12-31,8738.27688172043
2024-01-31,9932.752016129032
2024-02-29,8422.32040229885
2024-03-31,7913.938172043011
2024-04-30,7148.541666666667
