Date,consommation
2013-01-31,3163.9986550100875
2013-02-28,3278.4635416666665
2013-03-31,2945.7526881720432
2013-04-30,2493.7493055555556
2013-05-31,2314.7950268817203
2013-06-30,2117.402777777778
2013-07-31,2097.2526881720432
2013-08-31,1788.880376344086
2013-09-30,2108.073611111111
2013-10-31,2326.8776881720432
2013-11-30,2841.8631944444446
2013-12-31,2996.760752688172
2014-01-31,2901.8931451612902
2014-02-28,2888.464285714286
2014-03-31,2543.1404569892475
2014-04-30,2250.177777777778
2014-05-31,2103.2916666666665
2014-06-30,2007.7347222222222
2014-07-31,2013.622311827957
2014-08-31,1733.0047043010752
2014-09-30,2054.7208333333333
2014-10-31,2245.1807795698924
2014-11-30,2512.679166666667
2014-12-31,2747.9778225806454
2015-01-31,3156.5006720430106
2015-02-28,3242.7663690476193
2015-03-31,2709.206989247312
2015-04-30,2349.28125
2015-05-31,2031.0510752688172
2015-06-30,2113.44375
2015-07-31,2090.3790322580644
2015-08-31,1824.2123655913979
2015-09-30,2151.790972222222
2015-10-31,2443.6888440860216
2015-11-30,2658.3680555555557
2015-12-31,2788.7506720430106
2016-01-31,3003.4798387096776
2016-02-29,2977.114224137931
2016-03-31,2844.8615591397847
2016-04-30,2413.061111111111
2016-05-31,2147.996639784946
2016-06-30,2077.632638888889
2016-07-31,2012.8461021505377
2016-08-31,1915.8293010752689
2016-09-30,2135.139583333333
2016-10-31,2422.1330645161293
2016-11-30,2836.688888888889
2016-12-31,3134.891129032258
2017-01-31,3502.9005376344085
2017-02-28,2958.7418154761904
2017-03-31,2596.58938172043
2017-04-30,2334.9847222222224
2017-05-31,2193.9025537634407
2017-06-30,2098.965277777778
2017-07-31,2063.5134408602153
2017-08-31,1845.2560483870968
2017-09-30,2142.4625
2017-10-31,2341.52688172043
2017-11-30,2896.807638888889
2017-12-31,3103.739247311828
2018-01-31,2904.1431451612902
2018-02-28,3311.3147321428573
2018-03-31,2934.83938172043
2018-04-30,2248.8166666666666
2018-05-31,2080.0584677419356
2018-06-30,2070.159722222222
2018-07-31,2057.8353494623657
2018-08-31,1887.7943548387098
2018-09-30,2060.223611111111
2018-10-31,2296.4717741935483
2018-11-30,2737.932638888889
2018-12-31,2808.326612903226
2019-01-31,3239.014112903226
2019-02-28,3002.1971726190477
2019-03-31,2678.8602150537636
2019-04-30,2397.2145833333334
2019-05-31,2246.5934139784945
2019-06-30,2056.225
2019-07-31,2062.019489247312
2019-08-31,1769.203629032258
2019-09-30,2054.3875
2019-10-31,2265.0416666666665
2019-11-30,2688.9
2019-12-31,2733.8864247311826
2020-01-31,2941.3978494623657
2020-02-29,2777.9310344827586
2020-03-31,2419.5692204301076
2020-04-30,1916.19375
2020-05-31,1939.1780913978494
2020-06-30,1924.6798611111112
2020-07-31,1948.271505376344
2020-08-31,1823.2809139784947
2020-09-30,2033.5284722222223
2020-10-31,2375.2809139784945
2020-11-30,2497.179861111111
2020-12-31,2843.91061827957
2021-01-31,3138.8024193548385
2021-02-28,2856.7619047619046
2021-03-31,2589.4791666666665
2021-04-30,2375.0354166666666
2021-05-31,2192.1532258064517
2021-06-30,2055.438888888889
2021-07-31,1982.2452956989248
2021-08-31,1798.9926075268818
2021-09-30,2067.4
2021-10-31,2308.0961021505377
2021-11-30,2808.1180555555557
2021-12-31,2975.139112903226
2022-01-31,3174.3655913978496
2022-02-28,2919.9903273809523
2022-03-31,2555.1599462365593
2022-04-30,2286.4131944444443
2022-05-31,1945.844758064516
2022-06-30,1912.0777777777778
2022-07-31,1877.4751344086021
2022-08-31,1724.6075268817203
2022-09-30,1961.35625
2022-10-31,1974.9818548387098
2022-11-30,2300.8118055555556
2022-12-31,2638.581989247312
2023-01-31,2751.110887096774
2023-02-28,2750.1302083333335
2023-03-31,2472.5423387096776
2023-04-30,2237.165972222222
2023-05-31,1913.0625
2023-06-30,1875.9083333333333
2023-07-31,1892.1774193548388
2023-08-31,1742.872311827957
2023-09-30,1907.7666666666667
2023-10-31,2048.6780913978496
2023-11-30,2513.795833333333
2023-12-31,2692.184139784946
2024-01-31,2976.7815860215055
2024-02-29,2571.942528735632
2024-03-31,2342.5611559139784
2024-04-30,2206.570138888889
